family,level,key,metric,old,new,absolute_difference,old_3dp,new_3dp,both_undefined,definition_changed,passed
strict_temporal,detail,Forecasting|1146,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1146,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1148,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1148,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1148,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1148,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1150,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1150,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1150,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1150,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1151,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1151,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1151,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1151,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1152,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1152,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|1152,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|1152,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1154,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1154,precision,,,,,,True,False,True
strict_temporal,detail,Forecasting|1154,recall,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1154,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1157,accuracy,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1157,precision,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1157,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1157,R2(p3),-0.7061538462,-0.8784614035,0.1723075573,-0.706,-0.878,False,False,False
strict_temporal,detail,Forecasting|1158,accuracy,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1158,precision,0.6666666667,0.6666666667,0E-10,0.667,0.667,False,False,True
strict_temporal,detail,Forecasting|1158,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1158,R2(p3),-0.7061538462,-0.890769087,0.1846152408,-0.706,-0.891,False,False,False
strict_temporal,detail,Forecasting|1160,accuracy,0.8,0.8,0.0,0.800,0.800,False,False,True
strict_temporal,detail,Forecasting|1160,precision,0.8,0.8,0.0,0.800,0.800,False,False,True
strict_temporal,detail,Forecasting|1160,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1160,R2(p3),-0.2568573668,-0.2784091059,0.0215517391,-0.257,-0.278,False,False,False
strict_temporal,detail,Forecasting|1161,accuracy,0.8,0.8,0.0,0.800,0.800,False,False,True
strict_temporal,detail,Forecasting|1161,precision,0.8,0.8,0.0,0.800,0.800,False,False,True
strict_temporal,detail,Forecasting|1161,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1161,R2(p3),-0.3048589342,-0.3136754804,0.0088165462,-0.305,-0.314,False,False,False
strict_temporal,detail,Forecasting|1173,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1173,precision,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1173,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1173,R2(p3),-0.3464089991,-0.9428900952,0.5964810961,-0.346,-0.943,False,False,False
strict_temporal,detail,Forecasting|1182,accuracy,0.3333333333,0.6666666667,0.3333333334,0.333,0.667,False,False,False
strict_temporal,detail,Forecasting|1182,precision,0.5,0.6666666667,0.1666666667,0.500,0.667,False,False,False
strict_temporal,detail,Forecasting|1182,recall,0.5,1,0.5,0.500,1.000,False,False,False
strict_temporal,detail,Forecasting|1182,R2(p3),-0.3703703704,0.04166668801,0.41203705841,-0.370,0.042,False,False,False
strict_temporal,detail,Forecasting|1183,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1183,precision,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1183,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1183,R2(p3),-0.194214876,-2.442490654e-15,0.194214875999997557509346,-0.194,-0.000,False,False,False
strict_temporal,detail,Forecasting|1184,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1184,precision,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|1184,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1184,R2(p3),-0.194214876,-0.4297521297,0.2355372537,-0.194,-0.430,False,False,False
strict_temporal,detail,Forecasting|1188,accuracy,0.5,0.75,0.25,0.500,0.750,False,False,False
strict_temporal,detail,Forecasting|1188,precision,0.6666666667,0.75,0.0833333333,0.667,0.750,False,False,False
strict_temporal,detail,Forecasting|1188,recall,0.6666666667,1,0.3333333333,0.667,1.000,False,False,False
strict_temporal,detail,Forecasting|1188,R2(p3),-0.7190569745,-0.6994105608,0.0196464137,-0.719,-0.699,False,False,False
strict_temporal,detail,Forecasting|1189,accuracy,0.3333333333,0.3333333333,0E-10,0.333,0.333,False,False,True
strict_temporal,detail,Forecasting|1189,precision,0.3333333333,0.3333333333,0E-10,0.333,0.333,False,False,True
strict_temporal,detail,Forecasting|1189,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1189,R2(p3),-0.7466216216,-0.233108148,0.5135134736,-0.747,-0.233,False,False,False
strict_temporal,detail,Forecasting|1190,accuracy,0.5,0.75,0.25,0.500,0.750,False,False,False
strict_temporal,detail,Forecasting|1190,precision,0.5,0.6666666667,0.1666666667,0.500,0.667,False,False,False
strict_temporal,detail,Forecasting|1190,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1190,R2(p3),-0.3015521064,0.3148558999,0.6164080063,-0.302,0.315,False,False,False
strict_temporal,detail,Forecasting|1192,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1192,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1192,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1192,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1195,accuracy,0,0.5,0.5,0.000,0.500,False,False,False
strict_temporal,detail,Forecasting|1195,precision,0,0.5,0.5,0.000,0.500,False,False,False
strict_temporal,detail,Forecasting|1195,recall,0,1,1,0.000,1.000,False,False,False
strict_temporal,detail,Forecasting|1195,R2(p3),-0.4722838137,0.1108647516,0.5831485653,-0.472,0.111,False,False,False
strict_temporal,detail,Forecasting|1196,accuracy,0.4,0.6,0.2,0.400,0.600,False,False,False
strict_temporal,detail,Forecasting|1196,precision,0.5,0.6,0.1,0.500,0.600,False,False,False
strict_temporal,detail,Forecasting|1196,recall,0.6666666667,1,0.3333333333,0.667,1.000,False,False,False
strict_temporal,detail,Forecasting|1196,R2(p3),-0.5202509983,-0.2207643728,0.2994866255,-0.520,-0.221,False,False,False
strict_temporal,detail,Forecasting|1197,accuracy,0.4,0.6,0.2,0.400,0.600,False,False,False
strict_temporal,detail,Forecasting|1197,precision,0.5,0.6,0.1,0.500,0.600,False,False,False
strict_temporal,detail,Forecasting|1197,recall,0.6666666667,1,0.3333333333,0.667,1.000,False,False,False
strict_temporal,detail,Forecasting|1197,R2(p3),-0.5202509983,-0.2207643728,0.2994866255,-0.520,-0.221,False,False,False
strict_temporal,detail,Forecasting|12,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|12,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|12,recall,0.5,1,0.5,0.500,1.000,False,False,False
strict_temporal,detail,Forecasting|12,R2(p3),-1.444598338,-1.217451492,0.227146846,-1.445,-1.217,False,False,False
strict_temporal,detail,Forecasting|1200,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1200,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1200,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1200,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1203,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1203,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1203,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1203,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1204,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1204,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1204,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1204,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1207,accuracy,0.6666666667,1,0.3333333333,0.667,1.000,False,False,False
strict_temporal,detail,Forecasting|1207,precision,0.6666666667,1,0.3333333333,0.667,1.000,False,False,False
strict_temporal,detail,Forecasting|1207,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1207,R2(p3),-0.6061598952,-0.3053735106,0.3007863846,-0.606,-0.305,False,False,False
strict_temporal,detail,Forecasting|1210,accuracy,0,0,0,0.000,0.000,False,False,True
