task,method,layer,feature,source_order,training_observed_count,training_missing_count,training_missing_rate,training_median,scaling_center,scaling_scale,retained,retained_order,exclusion_reason,duplicate_of_feature,rank_policy
Nowcasting,Multinomial,direct,event_count_battles_w5_m12,41,4405,0,0,0.2848212005354705,2.1711432298925342,8.1709946029566094,True,41,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions_w5_m12,42,4405,0,0,0,0.19828806759926276,1.39750726840566,True,42,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence_w5_m12,43,4405,0,0,0.97910225438466436,3.199482936061385,6.2673876704314395,True,43,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_battles_w10_m12,44,4405,0,0,0,2.1801889301426374,9.0640935110996868,True,44,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions_w10_m12,45,4405,0,0,0,0.15347149830981913,1.2970028290247464,True,45,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence_w10_m12,46,4405,0,0,0.4961406421466642,2.6165739665131964,5.3816724414089148,True,46,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_battles_w10_m12,47,4405,0,0,0.33524656517210399,2.3066316336217967,8.3876696744637673,True,47,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions_w10_m12,48,4405,0,0,0,0.22697581370564024,1.5194808800353317,True,48,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence_w10_m12,49,4405,0,0,1.0660295588773887,3.3248789882799912,6.3497064878806482,True,49,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,chirps_z_score,50,4405,0,0,0.18297570507075209,0.25863615051265804,1.1052252737281452,True,50,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,temperature_z_score,51,4405,0,0,0.72854595742554429,0.61506091315215117,0.92532027991696664,True,51,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,nitrogen_5-15cm_mean,52,4405,0,0,1552,1829.1788876276958,1075.1945348926433,True,52,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,phh2o_5-15cm_mean,53,4405,0,0,65,67.39818388195232,10.303692575828091,True,53,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,cec_5-15cm_mean,54,4405,0,0,189,192.21203178206582,64.646946464974675,True,54,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,cfvo_5-15cm_mean,55,4405,0,0,116,128.36163450624289,71.147527687754604,True,55,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,soc_5-15cm_mean,56,4405,0,0,161,205.21906923950056,136.4382749083762,True,56,,,not_applied_authoritative_adapter
