experiment,threshold_percent,task,model,removed_feature_count,removed_country_count,removed_country_iso3,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3above_r2,n_train,n_test,status,reason,delta_overall_accuracy_vs_xgboost,delta_phase3plus_precision_vs_xgboost,delta_phase3plus_recall_vs_xgboost,delta_phase3above_r2_vs_xgboost
country_removal,0,Nowcasting,Ensemble OLS,0,0,,0.54529914529914525,0.79427083333333337,0.69397042093287831,-0.9531332465430491,4405,1170,generated,,-0.10854700854700861,0.016806044600939041,-0.24800910125142206,-0.63579747369902528
country_removal,0,Nowcasting,Ordered Probit,0,0,,0.48974358974358972,0.82529118136439272,0.56427758816837315,-1.2321522817634847,4405,1170,generated,,-0.16410256410256413,0.047826392631998393,-0.37770193401592722,-0.91481650891946087
country_removal,5,Forecasting,XGBoost,0,2,ZWE;DOM,0.66838046272493579,0.819620253164557,0.88496583143507968,-0.25097145919871355,4402,1167,generated,,0,0,0,0
country_removal,5,Forecasting,Ensemble OLS,0,2,ZWE;DOM,0.53384747215081407,0.78543563068920674,0.6879271070615034,-1.0190311418685121,4402,1167,generated,,-0.13453299057412171,-0.034184622475350257,-0.19703872437357628,-0.76805968266979852
country_removal,5,Forecasting,Ordered Probit,0,2,ZWE;DOM,0.49185946872322195,0.79437869822485208,0.61161731207289294,-1.2075966927036124,4402,1167,generated,,-0.17652099400171384,-0.025241554939704924,-0.27334851936218674,-0.95662523350489881
country_removal,5,Nowcasting,XGBoost,0,2,ZWE;ZMB,0.66952054794520544,0.78345724907063197,0.95904436860068254,-0.23682542681798679,4381,1168,generated,,0,0,0,0
country_removal,5,Nowcasting,Ensemble OLS,0,2,ZWE;ZMB,0.5428082191780822,0.79450261780104714,0.69055745164960181,-0.97248367325247709,4381,1168,generated,,-0.12671232876712324,0.011045368730415173,-0.26848691695108073,-0.73565824643449029
country_removal,5,Nowcasting,Ordered Probit,0,2,ZWE;ZMB,0.4863013698630137,0.8403508771929824,0.54493742889647323,-1.257551243745842,4381,1168,generated,,-0.18321917808219174,0.056893628122350437,-0.41410693970420931,-1.0207258169278552
country_removal,10,Forecasting,XGBoost,0,3,ZWE;DOM;SDN,0.67153912295786755,0.79725759059745349,0.93135011441647597,-0.22936742337263349,4395,1163,generated,,0,0,0,0
country_removal,10,Forecasting,Ensemble OLS,0,3,ZWE;DOM;SDN,0.53138435081685298,0.78328981723237601,0.68649885583524028,-1.025923843760145,4395,1163,generated,,-0.14015477214101457,-0.013967773365077485,-0.24485125858123569,-0.79655642038751151
