delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
-0.01,0.040000000000000001,959,0.38581856100104273,0.34435346554487184,48,0.041666666666666664,0.76907216494845365,0.66607142857142854,0.17518248175182483,9,390,512,48,0,0,474,467,18,0,0.031282586027111536,-0.0027043269230768718,0.041666666666666664,0.0062638158023435864,-0.051785714285714324,0.056308654848800849,0.050000000000000003,False,True,False,True,False,False,<NA>,False
0,0.070000000000000007,959,0.38686131386861317,0.38205128205128203,48,0.20833333333333334,0.76280834914611007,0.71785714285714286,0.093847758081334734,9,390,512,48,0,0,432,476,51,0,0.032325338894681976,0.034993489583333315,0.20833333333333334,0,0,-0.025026068821689243,0.070000000000000007,False,True,True,True,True,False,<NA>,False
-0.029999999999999999,0,959,0.38686131386861317,0.33595502804487176,48,0,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,414,0,0,0.032325338894681976,-0.01110276442307695,0,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.029999999999999999,False,False,False,True,False,False,<NA>,False
-0.029999999999999999,0.01,959,0.38686131386861317,0.33595502804487176,48,0,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,414,0,0,0.032325338894681976,-0.01110276442307695,0,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.040000000000000001,False,False,False,True,False,False,<NA>,False
-0.029999999999999999,0.02,959,0.38998957247132432,0.33449018429487176,48,0,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,411,3,0,0.03545359749739313,-0.01256760817307695,0,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.050000000000000003,False,False,False,True,False,False,<NA>,False
-0.02,0.040000000000000001,959,0.3910323253388947,0.34371494391025642,48,0.041666666666666664,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,430,18,0,0.036496350364963515,-0.0033428485576922906,0.041666666666666664,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.059999999999999998,False,True,False,True,False,False,<NA>,False
-0.01,0.050000000000000003,959,0.39207507820646509,0.36079226762820515,48,0.125,0.76907216494845365,0.66607142857142854,0.17518248175182485,9,390,512,48,0,0,474,453,32,0,0.037539103232533899,0.013734475160256443,0.125,0.0062638158023435864,-0.051785714285714324,0.056308654848800876,0.060000000000000005,False,True,True,True,False,False,<NA>,False
-0.029999999999999999,0.029999999999999999,959,0.39311783107403547,0.33774539262820508,48,0.020833333333333332,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,406,8,0,0.038581856100104284,-0.0093123998397436347,0.020833333333333332,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.059999999999999998,False,True,False,True,False,False,<NA>,False
-0.02,0.050000000000000003,959,0.39728884254431701,0.36015374599358974,48,0.125,0.7857142857142857,0.62857142857142856,0.25234619395203334,9,390,512,48,0,0,511,416,32,0,0.042752867570385822,0.013095953525641024,0.125,0.022905936568175633,-0.089285714285714302,0.13347236704900936,0.070000000000000007,False,True,True,True,False,False,<NA>,False
-0.01,0.059999999999999998,959,0.3983315954118874,0.37202273637820515,48,0.1875,0.76907216494845365,0.66607142857142854,0.17518248175182483,9,390,512,48,0,0,474,441,44,0,0.043795620437956206,0.024964943910256443,0.1875,0.0062638158023435864,-0.051785714285714324,0.056308654848800849,0.069999999999999993,False,True,True,True,False,False,<NA>,False
-0.040000000000000001,0,959,0.3983315954118874,0.3335762219551282,48,0,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,383,0,0,0.043795620437956206,-0.013481570512820507,0,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.040000000000000001,False,False,False,True,False,False,<NA>,False
-0.040000000000000001,0.01,959,0.3983315954118874,0.3335762219551282,48,0,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,383,0,0,0.043795620437956206,-0.013481570512820507,0,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.050000000000000003,False,False,False,True,False,False,<NA>,False
-0.029999999999999999,0.040000000000000001,959,0.40145985401459855,0.34002403846153845,48,0.041666666666666664,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,396,18,0,0.04692387904066736,-0.0070337540064102644,0.041666666666666664,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.070000000000000007,False,True,False,True,False,False,<NA>,False
-0.050000000000000003,0,959,0.40145985401459855,0.33492087339743593,48,0,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,356,0,0,0.04692387904066736,-0.012136919070512786,0,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.050000000000000003,False,False,False,True,False,False,<NA>,False
-0.050000000000000003,0.01,959,0.40145985401459855,0.33492087339743593,48,0,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,356,0,0,0.04692387904066736,-0.012136919070512786,0,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.060000000000000005,False,False,False,True,False,False,<NA>,False
-0.040000000000000001,0.02,959,0.40145985401459855,0.3321113782051282,48,0,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,380,3,0,0.04692387904066736,-0.014946414262820507,0,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.059999999999999998,False,False,False,True,False,False,<NA>,False
-0.059999999999999998,0,959,0.40250260688216893,0.3359900841346154,48,0,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,341,0,0,0.047966631908237745,-0.011067708333333315,0,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.059999999999999998,False,False,False,True,False,False,<NA>,False
-0.059999999999999998,0.01,959,0.40250260688216893,0.3359900841346154,48,0,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,341,0,0,0.047966631908237745,-0.011067708333333315,0,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.069999999999999993,False,False,False,True,False,False,<NA>,False
